subject,session,global_sent_idx,local_sent_idx,word_idx,word_count,FFD,GD,GPT,TRT,nFix,reg,surprisal,word,word_clean,word_length,word_position,word_pos_norm,log_freq
ZAB,1,0,0,0,22,236.0,236.0,604.0,1390.0,5,1,,One,one,3.0,0.0,0.0,6.47
ZAB,1,0,0,1,22,242.0,242.0,1028.0,242.0,1,0,4.040399423609618,of,of,2.0,1.0,0.05555555555555555,7.4
ZAB,1,0,0,2,22,,,,,0,0,0.591749133973558,the,the,3.0,2.0,0.1111111111111111,7.73
ZAB,1,0,0,3,22,,,,,0,0,5.032313490044488,best,best,4.0,3.0,0.16666666666666666,5.84
ZAB,1,0,0,4,22,54.0,54.0,2154.0,522.0,3,0,17.876402309661366,silly,silly,5.0,4.0,0.2222222222222222,4.39
ZAB,1,0,0,5,22,,,,,0,0,10.679357639749378,horror,horror,6.0,5.0,0.2777777777777778,4.43
ZAB,1,0,0,6,22,,,,,0,0,2.42276242638445,movies,movies,6.0,6.0,0.3333333333333333,4.79
ZAB,1,0,0,7,22,188.0,188.0,188.0,188.0,1,0,2.2632958129381824,of,of,2.0,7.0,0.3888888888888889,7.4
ZAB,1,0,0,8,22,162.0,162.0,162.0,162.0,1,0,5.977562471924847,recent,recent,6.0,8.0,0.4444444444444444,5.04
ZAB,1,0,0,9,22,150.0,150.0,150.0,150.0,1,0,4.489987870362629,"memory,",memory,6.0,9.0,0.5,4.81
ZAB,1,0,0,10,22,,,,,0,0,7.396904332618451,with,with,4.0,10.0,0.5555555555555556,6.85
ZAB,1,0,0,11,22,,,,,0,0,5.149564382096717,some,some,4.0,11.0,0.6111111111111112,6.2
ZAB,1,0,0,12,22,,,,,0,0,7.747541873266941,real,real,4.0,12.0,0.6666666666666666,5.6
ZAB,1,0,0,13,22,130.0,130.0,130.0,130.0,1,0,10.018367086659898,shocks,shocks,6.0,13.0,0.7222222222222222,3.53
ZAB,1,0,0,14,22,152.0,152.0,152.0,152.0,1,0,3.3648839037588685,in,in,2.0,14.0,0.7777777777777778,7.27
ZAB,1,0,0,15,22,,,,,0,0,8.190646230117123,store,store,5.0,15.0,0.8333333333333334,5.02
ZAB,1,0,0,16,22,150.0,150.0,150.0,150.0,1,0,0.7782613951292092,for,for,3.0,16.0,0.8888888888888888,7.01
ZAB,1,0,0,17,22,178.0,178.0,178.0,178.0,1,0,16.852259618861552,unwary,unwary,6.0,17.0,0.9444444444444444,2.33
ZAB,1,0,0,18,22,260.0,260.0,260.0,260.0,1,0,3.805619027610764,viewers.,viewers,7.0,18.0,1.0,4.22
ZAB,1,0,0,19,22,,,,,0,0,,,,,,,
ZAB,1,0,0,20,22,114.0,114.0,114.0,114.0,1,0,,,,,,,
ZAB,1,0,0,21,22,300.0,300.0,300.0,300.0,1,0,,,,,,,
ZAB,1,1,1,0,22,140.0,288.0,288.0,288.0,2,0,,Jason,jason,5.0,0.0,0.0,4.46
ZAB,1,1,1,1,22,250.0,250.0,250.0,250.0,1,0,16.14775343500932,Patric,patric,6.0,1.0,0.1,2.41
ZAB,1,1,1,2,22,292.0,724.0,724.0,724.0,3,0,5.799059614802527,and,and,3.0,2.0,0.2,7.41
ZAB,1,1,1,3,22,196.0,196.0,196.0,196.0,1,0,9.441630146297504,Ray,ray,3.0,3.0,0.3,4.69
ZAB,1,1,1,4,22,,,,,0,0,8.683960088845735,Liotta,liotta,6.0,4.0,0.4,2.07
ZAB,1,1,1,5,22,208.0,208.0,208.0,208.0,1,0,9.28436508276493,make,make,4.0,5.0,0.5,6.08
ZAB,1,1,1,6,22,306.0,306.0,306.0,306.0,1,0,6.3380133426315695,for,for,3.0,6.0,0.6,7.01
ZAB,1,1,1,7,22,382.0,382.0,382.0,764.0,3,1,6.1358669985992345,one,one,3.0,7.0,0.7,6.47
ZAB,1,1,1,8,22,142.0,142.0,782.0,400.0,2,0,18.65938634838327,splendidly,splendidly,10.0,8.0,0.8,2.68
ZAB,1,1,1,9,22,310.0,478.0,478.0,478.0,2,0,10.6419479735337,cast,cast,4.0,9.0,0.9,4.79
ZAB,1,1,1,10,22,,,,,0,0,11.200862351787183,pair.,pair,4.0,10.0,1.0,4.72
ZAB,1,1,1,11,22,180.0,180.0,180.0,180.0,1,0,,,,,,,
ZAB,1,1,1,12,22,,,,,0,0,,,,,,,
ZAB,1,1,1,13,22,176.0,176.0,176.0,176.0,1,0,,,,,,,
ZAB,1,1,1,14,22,154.0,154.0,154.0,154.0,1,0,,,,,,,
ZAB,1,1,1,15,22,220.0,220.0,220.0,220.0,1,0,,,,,,,
ZAB,1,1,1,16,22,326.0,326.0,326.0,326.0,1,0,,,,,,,
ZAB,1,1,1,17,22,,,,,0,0,,,,,,,
ZAB,1,1,1,18,22,182.0,182.0,182.0,182.0,1,0,,,,,,,
ZAB,1,1,1,19,22,184.0,184.0,184.0,184.0,1,0,,,,,,,
ZAB,1,1,1,20,22,220.0,220.0,220.0,220.0,1,0,,,,,,,
ZAB,1,1,1,21,22,,,,,0,0,,,,,,,
ZAB,1,2,2,0,16,472.0,472.0,472.0,472.0,1,0,,A,a,1.0,0.0,0.0,7.36
ZAB,1,2,2,1,16,268.0,268.0,268.0,268.0,1,0,11.325166252351295,real,real,4.0,1.0,0.125,5.6
ZAB,1,2,2,2,16,104.0,104.0,104.0,104.0,1,0,8.793082194032646,winner,winner,6.0,2.0,0.25,4.8
ZAB,1,2,2,3,16,242.0,242.0,242.0,242.0,1,0,10.176448035888164,--,--,2.0,3.0,0.375,0.0
ZAB,1,2,2,4,16,164.0,164.0,164.0,164.0,1,0,16.544150571555527,"smart,",smart,5.0,4.0,0.5,4.83
ZAB,1,2,2,5,16,156.0,156.0,156.0,156.0,1,0,7.168853144795568,"funny,",funny,5.0,5.0,0.625,5.02
ZAB,1,2,2,6,16,98.0,98.0,98.0,98.0,1,0,14.016119112421812,"subtle,",subtle,6.0,6.0,0.75,4.08
ZAB,1,2,2,7,16,,,,,0,0,2.6498534780632284,and,and,3.0,7.0,0.875,7.41
ZAB,1,2,2,8,16,196.0,196.0,196.0,196.0,1,0,12.247155290130891,resonant.,resonant,8.0,8.0,1.0,3.13
ZAB,1,2,2,9,16,,,,,0,0,,,,,,,
ZAB,1,2,2,10,16,202.0,336.0,336.0,336.0,2,0,,,,,,,
ZAB,1,2,2,11,16,,,,,0,0,,,,,,,
ZAB,1,2,2,12,16,264.0,264.0,264.0,264.0,1,0,,,,,,,
ZAB,1,2,2,13,16,190.0,190.0,190.0,190.0,1,0,,,,,,,
ZAB,1,2,2,14,16,,,,,0,0,,,,,,,
ZAB,1,2,2,15,16,,,,,0,0,,,,,,,
ZAB,1,3,3,0,5,82.0,248.0,550.0,550.0,3,0,4.376890015363436,It's,it's,4.0,0.0,0.0,6.33
ZAB,1,3,3,1,5,170.0,170.0,170.0,278.0,2,1,5.542714314211985,hard,hard,4.0,1.0,0.1111111111111111,5.53
ZAB,1,3,3,2,5,114.0,114.0,114.0,114.0,1,0,0.38442293047121157,to,to,2.0,2.0,0.2222222222222222,7.43
ZAB,1,3,3,3,5,258.0,862.0,862.0,862.0,4,0,3.1521296698213157,imagine,imagine,7.0,3.0,0.3333333333333333,4.92
ZAB,1,3,3,4,5,306.0,586.0,694.0,586.0,3,0,16.26612737377168,acting,acting,6.0,4.0,0.4444444444444444,4.82
ZAB,1,4,4,0,13,340.0,340.0,340.0,340.0,1,0,,This,this,4.0,0.0,0.0,6.82
ZAB,1,4,4,1,13,282.0,282.0,282.0,282.0,1,0,4.445994364306622,is,is,2.0,1.0,0.14285714285714285,7.07
ZAB,1,4,4,2,13,142.0,326.0,326.0,326.0,2,0,8.344951128263046,more,more,4.0,2.0,0.2857142857142857,6.36
ZAB,1,4,4,3,13,,,,,0,0,5.834766652774664,a,a,1.0,3.0,0.42857142857142855,7.36
ZAB,1,4,4,4,13,138.0,264.0,264.0,264.0,2,0,4.0720346003399275,case,case,4.0,4.0,0.5714285714285714,5.55
ZAB,1,4,4,5,13,138.0,138.0,138.0,138.0,1,0,0.14293407170364544,of,of,2.0,5.0,0.7142857142857143,7.4
ZAB,1,4,4,6,13,,,,,0,0,37.78929108816425,`Sacre,sacre,5.0,6.0,0.8571428571428571,2.36
ZAB,1,4,4,7,13,,,,,0,0,31.999428417599265,bleu!',bleu',5.0,7.0,1.0,2.92
ZAB,1,4,4,8,13,78.0,78.0,324.0,324.0,2,0,,,,,,,
ZAB,1,4,4,9,13,,,,,0,0,,,,,,,
ZAB,1,4,4,10,13,178.0,318.0,318.0,318.0,2,0,,,,,,,
ZAB,1,4,4,11,13,140.0,140.0,140.0,140.0,1,0,,,,,,,
ZAB,1,4,4,12,13,314.0,314.0,314.0,314.0,1,0,,,,,,,
ZAB,1,5,5,0,16,118.0,264.0,264.0,264.0,2,0,15.404660772155047,Presents,presents,8.0,0.0,0.0,4.41
ZAB,1,5,5,1,16,374.0,374.0,374.0,374.0,1,0,2.52263206380988,a,a,1.0,1.0,0.047619047619047616,7.36
ZAB,1,5,5,2,16,,,,,0,0,9.350208296682455,good,good,4.0,2.0,0.09523809523809523,6.12
