global_sent_idx,word_idx,word,dep_length,dep_rel,pos,is_root
0,0,One,0,ROOT,NUM,1
0,1,of,1,prep,ADP,0
0,2,the,4,det,DET,0
0,3,best,1,advmod,ADV,0
0,4,silly,2,amod,ADJ,0
0,5,horror,1,compound,NOUN,0
0,6,movies,5,pobj,NOUN,0
0,7,of,1,prep,ADP,0
0,8,recent,1,amod,ADJ,0
0,9,memory,2,pobj,NOUN,0
0,10,",",10,punct,PUNCT,0
0,11,with,11,prep,ADP,0
0,12,some,2,det,DET,0
0,13,real,1,amod,ADJ,0
0,14,shocks,3,pobj,NOUN,0
0,15,in,1,prep,ADP,0
0,16,store,1,pobj,NOUN,0
0,17,for,1,prep,ADP,0
0,18,unwary,1,amod,ADJ,0
0,19,viewers,2,pobj,NOUN,0
0,20,.,20,punct,PUNCT,0
1,0,Jason,1,compound,PROPN,0
1,1,Patric,4,nsubj,PROPN,0
1,2,and,1,cc,CCONJ,0
1,3,Ray,1,compound,PROPN,0
1,4,Liotta,3,conj,PROPN,0
1,5,make,0,ROOT,VERB,1
1,6,for,1,prep,ADP,0
1,7,one,3,nummod,NUM,0
1,8,splendidly,1,advmod,ADV,0
1,9,cast,1,amod,VERB,0
1,10,pair,4,pobj,NOUN,0
1,11,.,6,punct,PUNCT,0
2,0,A,2,det,DET,0
2,1,real,1,amod,ADJ,0
2,2,winner,0,ROOT,NOUN,1
2,3,--,1,punct,PUNCT,0
2,4,smart,2,amod,ADJ,0
2,5,",",1,punct,PUNCT,0
2,6,funny,2,conj,ADJ,0
2,7,",",1,punct,PUNCT,0
2,8,subtle,2,conj,ADJ,0
2,9,",",1,punct,PUNCT,0
2,10,and,2,cc,CCONJ,0
2,11,resonant,3,conj,ADJ,0
2,12,.,10,punct,PUNCT,0
3,0,It,1,nsubj,PRON,0
3,1,'s,0,ROOT,AUX,1
3,2,hard,1,acomp,ADJ,0
3,3,to,1,aux,PART,0
3,4,imagine,3,xcomp,VERB,0
3,5,acting,1,dobj,VERB,0
3,6,that,2,nsubj,PRON,0
3,7,could,1,aux,AUX,0
3,8,be,4,ccomp,AUX,0
3,9,any,1,det,DET,0
3,10,flatter,2,attr,NOUN,0
3,11,.,10,punct,PUNCT,0
4,0,This,1,nsubj,PRON,0
4,1,is,0,ROOT,AUX,1
4,2,more,1,advmod,ADV,0
4,3,a,1,det,DET,0
4,4,case,3,attr,NOUN,0
4,5,of,1,prep,ADP,0
4,6,`,1,punct,PUNCT,0
4,7,Sacre,1,compound,PROPN,0
4,8,bleu,3,pobj,NOUN,0
4,9,!,8,punct,PUNCT,0
4,10,',9,punct,PUNCT,0
5,0,Presents,0,ROOT,VERB,1
5,1,a,2,det,DET,0
5,2,good,1,amod,ADJ,0
5,3,case,3,dobj,NOUN,0
5,4,while,1,mark,SCONJ,0
5,5,failing,5,advcl,VERB,0
5,6,to,1,aux,PART,0
5,7,provide,2,xcomp,VERB,0
5,8,a,1,det,DET,0
5,9,reason,2,dobj,NOUN,0
5,10,for,3,mark,SCONJ,0
5,11,us,2,nsubj,PRON,0
5,12,to,1,aux,PART,0
5,13,care,4,relcl,VERB,0
5,14,beyond,1,prep,ADP,0
5,15,the,3,det,DET,0
5,16,very,1,advmod,ADV,0
5,17,basic,1,amod,ADJ,0
5,18,dictums,4,pobj,NOUN,0
5,19,of,1,prep,ADP,0
5,20,human,1,amod,ADJ,0
5,21,decency,2,pobj,NOUN,0
5,22,.,22,punct,PUNCT,0
6,0,Beautifully,1,advmod,ADV,0
6,1,crafted,0,ROOT,VERB,1
6,2,",",1,punct,PUNCT,0
6,3,engaging,2,advcl,VERB,0
6,4,filmmaking,1,dobj,NOUN,0
6,5,that,2,nsubj,PRON,0
6,6,should,1,aux,AUX,0
6,7,attract,4,ccomp,VERB,0
6,8,upscale,1,amod,ADJ,0
6,9,audiences,2,dobj,NOUN,0
6,10,hungry,1,amod,ADJ,0
6,11,for,1,prep,ADP,0
6,12,quality,1,pobj,NOUN,0
6,13,and,1,cc,CCONJ,0
6,14,a,4,det,DET,0
6,15,nostalgic,3,amod,ADJ,0
6,16,",",2,punct,PUNCT,0
6,17,twisty,1,amod,ADJ,0
6,18,yarn,6,conj,NOUN,0
6,19,that,2,nsubj,PRON,0
6,20,will,1,aux,AUX,0
6,21,keep,3,relcl,VERB,0
6,22,them,1,dobj,PRON,0
6,23,guessing,2,xcomp,VERB,0
6,24,.,23,punct,PUNCT,0
7,0,Bread,4,nsubj,PROPN,0
7,1,",",3,punct,PUNCT,0
7,2,My,1,poss,PRON,0
7,3,Sweet,1,nsubj,PROPN,0
7,4,has,0,ROOT,VERB,1
7,5,so,1,advmod,ADV,0
7,6,many,1,amod,ADJ,0
7,7,flaws,3,dobj,NOUN,0
7,8,it,2,nsubj,PRON,0
7,9,would,1,aux,AUX,0
7,10,be,3,relcl,AUX,0
7,11,easy,1,acomp,ADJ,0
7,12,for,3,mark,SCONJ,0
7,13,critics,2,nsubj,NOUN,0
7,14,to,1,aux,PART,0
7,15,shred,5,advcl,VERB,0
7,16,it,1,dobj,PRON,0
7,17,.,13,punct,PUNCT,0
8,0,Slow,0,ROOT,ADJ,1
8,1,",",1,punct,PUNCT,0
8,2,silly,2,conj,ADJ,0
8,3,and,1,cc,CCONJ,0
8,4,unintentionally,1,advmod,ADV,0
8,5,hilarious,3,conj,ADJ,0
8,6,.,6,punct,PUNCT,0
9,0,Ultimately,1,advmod,ADV,0
9,1,feels,0,ROOT,VERB,1
9,2,emp11111ty,1,dep,X,0
9,3,and,1,cc,CCONJ,0
9,4,unsatisfying,2,conj,NOUN,0
9,5,",",3,punct,PUNCT,0
9,6,like,5,prep,ADP,0
9,7,swallowing,1,pcomp,VERB,0
9,8,a,1,det,DET,0
9,9,Communion,2,dobj,PROPN,0
9,10,wafer,3,dobj,NOUN,0
9,11,without,1,prep,ADP,0
9,12,the,1,det,DET,0
9,13,wine,2,pobj,NOUN,0
9,14,.,13,punct,PUNCT,0
10,0,Exudes,7,npadvmod,NOUN,0
10,1,the,1,det,DET,0
10,2,fizz,2,dobj,NOUN,0
10,3,of,1,prep,ADP,0
10,4,a,2,det,DET,0
10,5,Busby,1,compound,PROPN,0
10,6,Berkeley,3,pobj,PROPN,0
10,7,musical,0,ROOT,ADJ,1
10,8,and,1,cc,CCONJ,0
10,9,the,2,det,DET,0
10,10,visceral,1,amod,ADJ,0
10,11,excitement,4,conj,NOUN,0
10,12,of,1,prep,ADP,0
10,13,a,2,det,DET,0
10,14,sports,1,compound,NOUN,0
10,15,extravaganza,3,pobj,NOUN,0
10,16,.,9,punct,PUNCT,0
11,0,The,1,det,DET,0
11,1,film,1,nsubj,NOUN,0
11,2,rehashes,12,ccomp,VERB,0
11,3,several,2,amod,ADJ,0
11,4,old,1,amod,ADJ,0
11,5,themes,3,dobj,NOUN,0
11,6,and,4,cc,CCONJ,0
11,7,is,1,auxpass,AUX,0
11,8,capped,6,conj,VERB,0
11,9,with,1,prep,ADP,0
11,10,pointless,1,amod,ADJ,0
11,11,extremes,2,pobj,NOUN,0
11,12,--,2,punct,PUNCT,0
11,13,it,1,nsubj,PRON,0
11,14,'s,0,ROOT,AUX,1
11,15,insanely,1,advmod,ADV,0
11,16,violent,2,acomp,ADJ,0
11,17,and,1,cc,CCONJ,0
11,18,very,1,advmod,ADV,0
11,19,graphic,3,conj,ADJ,0
11,20,.,6,punct,PUNCT,0
12,0,Ryan,1,compound,PROPN,0
12,1,Gosling,1,nsubj,PROPN,0
12,2,is,0,ROOT,AUX,1
12,3,",",1,punct,PUNCT,0
12,4,in,2,prep,ADP,0
12,5,a,1,det,DET,0
12,6,word,2,pobj,NOUN,0
12,7,",",1,punct,PUNCT,0
12,8,brilliant,2,amod,ADJ,0
12,9,as,1,prep,ADP,0
12,10,the,2,det,DET,0
12,11,conflicted,1,amod,ADJ,0
12,12,Daniel,3,pobj,PROPN,0
12,13,.,11,punct,PUNCT,0
13,0,If,5,mark,SCONJ,0
13,1,Deuces,1,compound,PROPN,0
13,2,Wild,3,nsubjpass,PROPN,0
13,3,had,2,aux,AUX,0
13,4,been,1,auxpass,AUX,0
13,5,tweaked,0,ROOT,VERB,1
13,6,up,1,prt,ADP,0
13,7,a,1,det,DET,0
13,8,notch,3,dobj,NOUN,0
13,9,it,3,nsubj,PRON,0
13,10,would,2,aux,AUX,0
13,11,have,1,aux,AUX,0
13,12,become,4,relcl,VERB,0
13,13,a,2,det,DET,0
13,14,camp,1,compound,NOUN,0
13,15,adventure,3,attr,NOUN,0
13,16,",",1,punct,PUNCT,0
13,17,one,2,appos,NUM,0
13,18,of,1,prep,ADP,0
13,19,those,1,det,DET,0
13,20,movies,2,pobj,NOUN,0
13,21,that,1,nsubj,PRON,0
13,22,'s,2,relcl,AUX,0
13,23,so,1,advmod,ADV,0
13,24,bad,2,acomp,ADJ,0
13,25,it,1,nsubj,PRON,0
13,26,starts,2,ccomp,VERB,0
13,27,to,1,aux,PART,0
13,28,become,2,xcomp,VERB,0
13,29,good,1,acomp,ADJ,0
13,30,.,25,punct,PUNCT,0
14,0,The,1,det,DET,0
14,1,film,2,poss,NOUN,0
14,2,'s,1,case,PART,0
