subject,session,global_sent_idx,local_sent_idx,word_idx,word_count,FFD,GD,TRT,nFix,reg
ZAB,1,0,0,0,22,236.0,236.0,1390.0,5,1
ZAB,1,0,0,1,22,242.0,242.0,242.0,1,0
ZAB,1,0,0,2,22,,,,0,0
ZAB,1,0,0,3,22,,,,0,0
ZAB,1,0,0,4,22,54.0,54.0,522.0,3,0
ZAB,1,0,0,5,22,,,,0,0
ZAB,1,0,0,6,22,,,,0,0
ZAB,1,0,0,7,22,188.0,188.0,188.0,1,0
ZAB,1,0,0,8,22,162.0,162.0,162.0,1,0
ZAB,1,0,0,9,22,150.0,150.0,150.0,1,0
ZAB,1,0,0,10,22,,,,0,0
ZAB,1,0,0,11,22,,,,0,0
ZAB,1,0,0,12,22,,,,0,0
ZAB,1,0,0,13,22,130.0,130.0,130.0,1,0
ZAB,1,0,0,14,22,152.0,152.0,152.0,1,0
ZAB,1,0,0,15,22,,,,0,0
ZAB,1,0,0,16,22,150.0,150.0,150.0,1,0
ZAB,1,0,0,17,22,178.0,178.0,178.0,1,0
ZAB,1,0,0,18,22,260.0,260.0,260.0,1,0
ZAB,1,0,0,19,22,,,,0,0
ZAB,1,0,0,20,22,114.0,114.0,114.0,1,0
ZAB,1,0,0,21,22,300.0,300.0,300.0,1,0
ZAB,1,1,1,0,22,140.0,288.0,288.0,2,0
ZAB,1,1,1,1,22,250.0,250.0,250.0,1,0
ZAB,1,1,1,2,22,292.0,724.0,724.0,3,0
ZAB,1,1,1,3,22,196.0,196.0,196.0,1,0
ZAB,1,1,1,4,22,,,,0,0
ZAB,1,1,1,5,22,208.0,208.0,208.0,1,0
ZAB,1,1,1,6,22,306.0,306.0,306.0,1,0
ZAB,1,1,1,7,22,382.0,382.0,764.0,3,1
ZAB,1,1,1,8,22,142.0,142.0,400.0,2,0
ZAB,1,1,1,9,22,310.0,478.0,478.0,2,0
ZAB,1,1,1,10,22,,,,0,0
ZAB,1,1,1,11,22,180.0,180.0,180.0,1,0
ZAB,1,1,1,12,22,,,,0,0
ZAB,1,1,1,13,22,176.0,176.0,176.0,1,0
ZAB,1,1,1,14,22,154.0,154.0,154.0,1,0
ZAB,1,1,1,15,22,220.0,220.0,220.0,1,0
ZAB,1,1,1,16,22,326.0,326.0,326.0,1,0
ZAB,1,1,1,17,22,,,,0,0
ZAB,1,1,1,18,22,182.0,182.0,182.0,1,0
ZAB,1,1,1,19,22,184.0,184.0,184.0,1,0
ZAB,1,1,1,20,22,220.0,220.0,220.0,1,0
ZAB,1,1,1,21,22,,,,0,0
ZAB,1,2,2,0,16,472.0,472.0,472.0,1,0
ZAB,1,2,2,1,16,268.0,268.0,268.0,1,0
ZAB,1,2,2,2,16,104.0,104.0,104.0,1,0
ZAB,1,2,2,3,16,242.0,242.0,242.0,1,0
ZAB,1,2,2,4,16,164.0,164.0,164.0,1,0
ZAB,1,2,2,5,16,156.0,156.0,156.0,1,0
ZAB,1,2,2,6,16,98.0,98.0,98.0,1,0
ZAB,1,2,2,7,16,,,,0,0
ZAB,1,2,2,8,16,196.0,196.0,196.0,1,0
ZAB,1,2,2,9,16,,,,0,0
ZAB,1,2,2,10,16,202.0,336.0,336.0,2,0
ZAB,1,2,2,11,16,,,,0,0
ZAB,1,2,2,12,16,264.0,264.0,264.0,1,0
ZAB,1,2,2,13,16,190.0,190.0,190.0,1,0
ZAB,1,2,2,14,16,,,,0,0
ZAB,1,2,2,15,16,,,,0,0
ZAB,1,3,3,0,5,82.0,248.0,550.0,3,0
ZAB,1,3,3,1,5,170.0,170.0,278.0,2,1
ZAB,1,3,3,2,5,114.0,114.0,114.0,1,0
ZAB,1,3,3,3,5,258.0,862.0,862.0,4,0
ZAB,1,3,3,4,5,306.0,586.0,586.0,3,0
ZAB,1,4,4,0,13,340.0,340.0,340.0,1,0
ZAB,1,4,4,1,13,282.0,282.0,282.0,1,0
ZAB,1,4,4,2,13,142.0,326.0,326.0,2,0
ZAB,1,4,4,3,13,,,,0,0
ZAB,1,4,4,4,13,138.0,264.0,264.0,2,0
ZAB,1,4,4,5,13,138.0,138.0,138.0,1,0
ZAB,1,4,4,6,13,,,,0,0
ZAB,1,4,4,7,13,,,,0,0
ZAB,1,4,4,8,13,78.0,78.0,324.0,2,0
ZAB,1,4,4,9,13,,,,0,0
ZAB,1,4,4,10,13,178.0,318.0,318.0,2,0
ZAB,1,4,4,11,13,140.0,140.0,140.0,1,0
ZAB,1,4,4,12,13,314.0,314.0,314.0,1,0
ZAB,1,5,5,0,16,118.0,264.0,264.0,2,0
ZAB,1,5,5,1,16,374.0,374.0,374.0,1,0
ZAB,1,5,5,2,16,,,,0,0
ZAB,1,5,5,3,16,,,,0,0
ZAB,1,5,5,4,16,,,,0,0
ZAB,1,5,5,5,16,270.0,270.0,270.0,1,0
ZAB,1,5,5,6,16,184.0,372.0,372.0,2,0
ZAB,1,5,5,7,16,182.0,182.0,182.0,1,0
ZAB,1,5,5,8,16,168.0,168.0,168.0,1,0
ZAB,1,5,5,9,16,,,,0,0
ZAB,1,5,5,10,16,194.0,340.0,340.0,2,0
ZAB,1,5,5,11,16,356.0,472.0,472.0,2,0
ZAB,1,5,5,12,16,,,,0,0
ZAB,1,5,5,13,16,,,,0,0
ZAB,1,5,5,14,16,608.0,608.0,608.0,1,0
ZAB,1,5,5,15,16,256.0,440.0,440.0,2,0
ZAB,1,6,6,0,19,204.0,204.0,204.0,1,1
ZAB,1,6,6,1,19,,,,0,0
ZAB,1,6,6,2,19,146.0,320.0,320.0,2,0
ZAB,1,6,6,3,19,200.0,302.0,302.0,2,0
ZAB,1,6,6,4,19,80.0,80.0,80.0,1,0
ZAB,1,6,6,5,19,18.0,18.0,18.0,1,0
ZAB,1,6,6,6,19,,,,0,0
ZAB,1,6,6,7,19,,,,0,0
ZAB,1,6,6,8,19,168.0,168.0,168.0,1,0
ZAB,1,6,6,9,19,,,,0,0
ZAB,1,6,6,10,19,562.0,562.0,562.0,1,0
ZAB,1,6,6,11,19,,,,0,0
ZAB,1,6,6,12,19,,,,0,0
ZAB,1,6,6,13,19,,,,0,0
ZAB,1,6,6,14,19,,,,0,0
ZAB,1,6,6,15,19,,,,0,0
ZAB,1,6,6,16,19,,,,0,0
ZAB,1,6,6,17,19,164.0,164.0,164.0,1,0
ZAB,1,6,6,18,19,,,,0,0
ZAB,1,7,7,0,11,262.0,320.0,320.0,2,0
ZAB,1,7,7,1,11,248.0,248.0,248.0,1,0
ZAB,1,7,7,2,11,294.0,294.0,294.0,1,0
ZAB,1,7,7,3,11,,,,0,0
ZAB,1,7,7,4,11,,,,0,0
ZAB,1,7,7,5,11,206.0,206.0,206.0,1,0
ZAB,1,7,7,6,11,168.0,168.0,168.0,1,0
ZAB,1,7,7,7,11,282.0,388.0,388.0,2,1
ZAB,1,7,7,8,11,148.0,148.0,148.0,1,0
ZAB,1,7,7,9,11,296.0,296.0,296.0,1,0
ZAB,1,7,7,10,11,230.0,230.0,230.0,1,0
ZAB,1,8,8,0,28,,,,0,0
ZAB,1,8,8,1,28,326.0,326.0,592.0,2,1
ZAB,1,8,8,2,28,128.0,128.0,502.0,2,0
ZAB,1,8,8,3,28,188.0,188.0,188.0,1,0
ZAB,1,8,8,4,28,,,,0,0
ZAB,1,8,8,5,28,122.0,122.0,122.0,1,0
ZAB,1,8,8,6,28,,,,0,0
ZAB,1,8,8,7,28,,,,0,0
ZAB,1,8,8,8,28,130.0,130.0,130.0,1,0
ZAB,1,8,8,9,28,,,,0,0
ZAB,1,8,8,10,28,278.0,278.0,278.0,1,0
ZAB,1,8,8,11,28,136.0,136.0,136.0,1,0
ZAB,1,8,8,12,28,236.0,236.0,236.0,1,0
ZAB,1,8,8,13,28,,,,0,0
ZAB,1,8,8,14,28,206.0,206.0,206.0,1,0
ZAB,1,8,8,15,28,162.0,162.0,162.0,1,0
ZAB,1,8,8,16,28,,,,0,0
ZAB,1,8,8,17,28,,,,0,0
ZAB,1,8,8,18,28,262.0,262.0,262.0,1,0
ZAB,1,8,8,19,28,148.0,148.0,148.0,1,0
ZAB,1,8,8,20,28,,,,0,0
ZAB,1,8,8,21,28,,,,0,0
ZAB,1,8,8,22,28,,,,0,0
ZAB,1,8,8,23,28,,,,0,0
ZAB,1,8,8,24,28,310.0,310.0,310.0,1,0
ZAB,1,8,8,25,28,,,,0,0
ZAB,1,8,8,26,28,168.0,168.0,168.0,1,0
ZAB,1,8,8,27,28,,,,0,0
ZAB,1,9,9,0,21,154.0,154.0,346.0,2,1
ZAB,1,9,9,1,21,56.0,56.0,538.0,3,0
ZAB,1,9,9,2,21,230.0,392.0,392.0,2,0
ZAB,1,9,9,3,21,,,,0,0
ZAB,1,9,9,4,21,236.0,236.0,236.0,1,0
ZAB,1,9,9,5,21,112.0,112.0,112.0,1,0
ZAB,1,9,9,6,21,206.0,206.0,894.0,3,1
ZAB,1,9,9,7,21,172.0,172.0,258.0,2,0
ZAB,1,9,9,8,21,,,,0,0
ZAB,1,9,9,9,21,404.0,404.0,404.0,1,0
ZAB,1,9,9,10,21,158.0,158.0,636.0,4,1
ZAB,1,9,9,11,21,206.0,206.0,206.0,1,0
ZAB,1,9,9,12,21,156.0,156.0,156.0,1,0
ZAB,1,9,9,13,21,,,,0,0
ZAB,1,9,9,14,21,,,,0,0
ZAB,1,9,9,15,21,,,,0,0
ZAB,1,9,9,16,21,,,,0,0
ZAB,1,9,9,17,21,,,,0,0
ZAB,1,9,9,18,21,,,,0,0
ZAB,1,9,9,19,21,,,,0,0
ZAB,1,9,9,20,21,,,,0,0
ZAB,1,10,10,0,18,128.0,128.0,128.0,1,1
ZAB,1,10,10,1,18,,,,0,0
ZAB,1,10,10,2,18,210.0,210.0,210.0,1,0
ZAB,1,10,10,3,18,,,,0,0
ZAB,1,10,10,4,18,168.0,286.0,286.0,2,0
ZAB,1,10,10,5,18,,,,0,0
ZAB,1,10,10,6,18,348.0,348.0,348.0,1,0
ZAB,1,10,10,7,18,,,,0,0
ZAB,1,10,10,8,18,,,,0,0
ZAB,1,10,10,9,18,130.0,130.0,130.0,1,0
ZAB,1,10,10,10,18,,,,0,0
ZAB,1,10,10,11,18,90.0,482.0,482.0,3,0
ZAB,1,10,10,12,18,48.0,48.0,448.0,2,0
ZAB,1,10,10,13,18,150.0,150.0,150.0,1,0
ZAB,1,10,10,14,18,252.0,252.0,252.0,1,0
ZAB,1,10,10,15,18,194.0,194.0,194.0,1,0
ZAB,1,10,10,16,18,156.0,156.0,410.0,2,1
ZAB,1,10,10,17,18,252.0,252.0,252.0,1,0
