beta,measure,measure_type,delta_aic,p_lrt,delta_r2,lossy_estimate,lossy_se
0.1,FFD,early,-1.1083703640615568,0.3450360738259563,3.811117613686195e-5,-0.0035068128776566485,0.00371340326516906
0.1,GD,early,NA,NA,8.449473233259372e-4,-0.021492302848635594,0.0047646087832803495
0.1,TRT,late,24.865754982398357,2.1808918150236223e-7,0.00104258063167827,-0.03226297371390925,0.006230063643181456
0.1,reg,late,23.06124331209503,5.553797233938255e-7,NA,-0.12747637752419874,0.025406007827427506
0.3,FFD,early,NA,NA,2.2084178079002117e-4,-0.002353303493111645,0.004034450362125857
0.3,GD,early,9.890481011592783,5.642154890372036e-4,4.41896684132223e-4,-0.01908331561491148,0.005534443935115855
0.3,TRT,late,15.716257358319126,2.5642568422751006e-5,5.474521783624033e-4,-0.029125685141930122,0.006920346454329183
0.3,reg,late,26.035040867915086,1.1913849918612101e-7,NA,-0.1509569703164662,0.028501055289793503
0.5,FFD,early,-1.6396898820530623,0.5483340543748833,1.3866171748483835e-5,-0.003089869240950859,0.005148634926672034
0.5,GD,early,5.754533311177511,0.005357788448955496,2.77640192990944e-4,-0.019135931656954375,0.006868605329010215
0.5,TRT,late,11.303347829089034,2.6493264069307157e-4,3.5131529092547083e-4,-0.03142672778178326,0.008608013483115809
0.5,reg,late,46.4038533965504,3.4688589100731692e-12,NA,-0.250240024901813,0.03617434206842231
0.7,FFD,early,-1.0406900736270472,0.32736080259530975,3.618742962037917e-5,-0.006344584673798929,0.006476471308925537
0.7,GD,early,8.619263607542962,0.0011191560692641858,3.759191880477944e-4,-0.028114768197705513,0.008616227340880127
0.7,TRT,late,8.745679362327792,0.0010452306295507857,2.480031176990954e-4,-0.035484809792410685,0.010814061902375436
0.7,reg,late,44.19671075624501,1.0695639096520525e-11,NA,-0.31798458709478256,0.04730050230625974
0.9,FFD,early,-1.8035495505318977,0.657601326209533,8.453422651913639e-6,-0.004577043757503913,0.010325333821084743
0.9,GD,early,-1.9005240018595941,0.7524593651399261,1.8840811595301167e-6,-0.0043418846395217245,0.01376294303107819
0.9,TRT,late,-1.524914890236687,0.4906570350291219,-5.564172335161335e-6,-0.011958884658821672,0.017271706267420407
0.9,reg,late,22.167876415580395,8.829277618766819e-7,NA,-0.38130844941340475,0.07825971896054143
