beta,measure,measure_type,delta_aic,p_lrt,lossy_estimate,lossy_se
0.1,FFD,early,NA,NA,-0.0036482287770043032,0.0037136767943773703
0.1,GD,early,17.84809552668594,8.384622578314045e-6,-0.022119504678411995,0.004968208447449439
0.1,TRT,late,25.116784082667436,1.915278341271096e-7,-0.032379419689844535,0.00623163936306178
0.1,reg,late,23.67048660522414,4.049733298352114e-7,-0.1290725038710932,0.025414944541600034
0.3,FFD,early,NA,NA,-0.002763735478319034,0.004155302148268233
0.3,GD,early,10.06988090951927,5.124297399401071e-4,-0.019229689311902054,0.005534538757819384
0.3,TRT,late,15.962813938851468,2.2526282229251275e-5,-0.029331728239723187,0.006921232862954179
0.3,reg,late,26.015098224161193,1.203726119745102e-7,-0.1509216185205861,0.028505404036498778
0.5,FFD,early,NA,NA,-0.0031864046834095853,0.005148432284763038
0.5,GD,early,NA,NA,-0.015339912048388141,0.006578877283970948
0.5,TRT,late,11.500559143722057,2.3849237955077295e-4,-0.03165982649848005,0.008608640784357779
0.5,reg,late,46.54732574650552,3.2241367616531744e-12,-0.25069753084822377,0.03618881421147651
0.7,FFD,early,NA,NA,-0.006456205334358685,0.006475676285048349
0.7,GD,early,8.778388868493494,0.0010269202763903452,-0.0283150350139574,0.008615486140213518
0.7,TRT,late,8.92545815143967,9.485174355378447e-4,-0.03579658706316965,0.010813906274978904
0.7,reg,late,44.18101306822791,1.0781677900815916e-11,-0.31779064645157856,0.047320648082852065
0.9,FFD,early,NA,NA,-0.004511521111793959,0.010324856921841496
0.9,GD,early,-1.897957882785704,0.7493926411181744,-0.00433960687306565,0.013762578167848996
0.9,TRT,late,-1.518815576680936,0.4878863108175232,-0.01196166037414126,0.017271515773710857
0.9,reg,late,21.790750292035227,1.0739732494167091e-6,-0.378355693621192,0.07827263321771032
