beta,measure,measure_type,delta_aic,p_lrt,delta_r2,lossy_estimate,lossy_se
0.1,FFD,early,NA,NA,2.8337489170310467e-4,-0.005343893414060513,0.0034960210573962845
0.1,GD,early,NA,NA,-6.945604989850113e-4,-0.020957321160854806,0.00482424782359832
0.1,GPT,late,-0.8250721181975678,0.27839100221231,2.978552999938003e-4,-0.00725530010089661,0.0070115500357486905
0.1,TRT,late,17.493527831684332,1.0094111933957464e-5,6.617104449858253e-4,-0.02659488239646236,0.006029230091418402
0.1,reg,late,18.70141167636757,5.36764148912477e-6,NA,-0.11211146579289218,0.02458115947023085
0.3,FFD,early,NA,NA,5.159497638710568e-5,-0.005596003192347358,0.0041005068280457685
0.3,GD,early,NA,NA,-7.334007591563859e-4,-0.019796991875286763,0.005647730955890681
0.3,GPT,late,-1.9777849929523654,0.8815165495676133,1.1267430683283008e-5,-0.0012188581090373045,0.008218017807177607
0.3,TRT,late,11.273636433412321,2.6916459068215685e-4,4.1632810611371904e-4,-0.02570991511144073,0.007058152907513581
0.3,reg,late,27.166929423052352,6.640298191979369e-8,NA,-0.15663242745140976,0.02901379791547708
0.5,FFD,early,-0.9727873840020038,0.31081424429313054,4.057698989201852e-5,-0.005323538519623272,0.0052479226900867815
0.5,GD,early,10.710969136212952,3.6351699032652893e-4,4.708366855664288e-4,-0.024958871220803897,0.006992070572077284
0.5,GPT,late,-1.9994600324425846,0.9814610636962237,6.1910362920171436e-6,-1.4799233549605276e-4,0.010169735332278121
0.5,TRT,late,13.293032741872594,9.205541756254738e-5,4.3638502119578565e-4,-0.034164646247795485,0.008725566907753874
0.5,reg,late,46.1519273460508,3.944410511933857e-12,NA,-0.2551210011682137,0.03693975594031442
0.7,FFD,early,-0.6333712363848463,0.24239195428736685,5.379220622141466e-5,-0.007756733288206662,0.006635935525681324
0.7,GD,early,2.3046862386981957,0.03800750572409198,1.489441452228636e-4,-0.018352052787571172,0.00883923488335216
0.7,GPT,late,-0.3513674074783921,0.1991451447739227,9.126384730464426e-6,0.016527847431072742,0.01289165944246194
0.7,TRT,late,2.3964398307725787,0.03601403767688025,3.723315559935915e-5,-0.023195842977346046,0.011046341550013888
0.7,reg,late,53.953580269277154,7.42024828117415e-14,NA,-0.3600346731447967,0.04859848820772634
0.9,FFD,early,0.08675718330778182,0.14858116586323156,8.098400704086836e-5,-0.01601642182844378,0.011064973499362763
0.9,GD,early,NA,NA,4.105713685922088e-4,-0.014113667938913749,0.01434356577718853
0.9,GPT,late,0.9814967320999131,0.08422135576290497,5.958700179746826e-5,0.036926220267230726,0.02143557043269914
0.9,TRT,late,1.5549881379702128,0.059366732386525754,6.867611007864254e-5,-0.03473783430118079,0.018397458196729253
0.9,reg,late,43.539440082728106,1.4959602613228718e-11,NA,-0.5711233342028658,0.08553254190839168
