beta,measure,measure_type,delta_aic,p_lrt,delta_r2,lossy_estimate,lossy_se,sig
0.1,FFD,early,NA,NA,1.307749292956335e-4,-0.0022818099702573065,0.004021516481798556,
0.1,GD,early,NA,NA,0.00280559077147351,-0.021531882152950974,0.005027753835958139,
0.1,TRT,late,27.8774365268182,4.602377403994421e-8,0.0011283592578155421,-0.03466965769987209,0.006349153960754173,*
0.1,reg,late,23.06124331209503,5.553797233938255e-7,NA,-0.12747637752419874,0.025406007827427506,*
0.3,FFD,early,NA,NA,-1.2389753280741568e-4,-4.310704402991994e-4,0.004636422706188782,
0.3,GD,early,NA,NA,0.0018287888417674713,-0.01589401361508211,0.005631730557641543,
0.3,TRT,late,16.94303161127027,1.346802945035229e-5,5.694109955524523e-4,-0.030697764773812187,0.007053228256830258,*
0.3,reg,late,26.035040867915086,1.1913849918612101e-7,NA,-0.1509569703164662,0.028501055289793503,*
0.5,FFD,early,NA,NA,-1.2177610477390053e-4,-0.0014668809147675701,0.00575007310485051,
0.5,GD,early,NA,NA,-8.065484109591129e-4,-0.017197305558402504,0.007277462483306083,
0.5,TRT,late,10.215634779073298,4.7390683626112324e-4,3.056021650320786e-4,-0.030752537079639992,0.008790082685769359,*
0.5,reg,late,46.4038533965504,3.4688589100731692e-12,NA,-0.250240024901813,0.03617434206842231,*
0.7,FFD,early,NA,NA,-1.2313286761091814e-4,-0.0013443352407469366,0.007242651724259882,
0.7,GD,early,4.808139560976997,0.00907432603084562,2.2787225081437573e-4,-0.023874316293940597,0.00914081074897089,*
0.7,TRT,late,7.456687840691302,0.0021038061467077624,1.9888156430575982e-4,-0.034017756473948293,0.011048219951404228,*
0.7,reg,late,44.19671075624501,1.0695639096520525e-11,NA,-0.31798458709478256,0.04730050230625974,*
0.9,FFD,early,NA,NA,-1.235269335837324e-4,0.0015544135895822532,0.011553932880697318,
0.9,GD,early,NA,NA,-5.612518593304351e-4,-2.030065412356173e-4,0.014603403918532471,
0.9,TRT,late,-1.8058090771082789,0.6594512001172077,-8.283542947138192e-6,-0.0077446749427554275,0.017639452683870578,
0.9,reg,late,22.167876415580395,8.829277618766819e-7,NA,-0.38130844941340475,0.07825971896054143,*
1,FFD,early,NA,NA,-1.240899783647058e-4,-0.035190552323053834,328.6335460390922,
1,GD,early,-1.9999390794546343,0.9937724454101675,1.2996462856560299e-6,0.00134545799110325,419.03757115129036,
1,TRT,late,-2.3139849855797365,1,-2.692825894665355e-4,-0.015295147161347918,508.01700916561856,
1,reg,late,-2.000004173882189,1,NA,0.04501576783480839,1977.3137317594737,
