subject,measure,max_daic,opt_beta,has_effect
ZAB,FFD,-1.1676719283241255,0.1,FALSE
ZAB,GD,-1.8346616479939257,0.1,FALSE
ZAB,GPT,-0.4876818116827053,0.9,FALSE
ZAB,TRT,-1.110328836417466,0.1,FALSE
ZAB,reg,3.4746950945800563,0.5,TRUE
ZDM,FFD,-0.6289802569262974,0.3,FALSE
ZDM,GPT,0.036980115986807505,0.3,FALSE
ZDM,TRT,-0.873631776743423,0.7,FALSE
ZDM,reg,1.3739866654532307,0.7,FALSE
ZDN,FFD,4.365750411168847,0.9,TRUE
ZDN,GD,1.8437894292637793,0.5,FALSE
ZDN,GPT,-0.316590929935046,0.1,FALSE
ZDN,TRT,4.824569906671968,0.9,TRUE
ZDN,reg,11.152185261735212,0.5,TRUE
ZGW,FFD,-1.5292792454383743,0.3,FALSE
ZGW,GD,-0.9878339020469866,0.3,FALSE
ZGW,GPT,-0.8838786781598174,0.9,FALSE
ZGW,TRT,-1.7509934462250385,0.3,FALSE
ZGW,reg,-0.5088300087973039,0.1,FALSE
ZJM,FFD,-1.3980327862627746,0.9,FALSE
ZJM,GD,-0.658214064729691,0.1,FALSE
ZJM,GPT,-1.2424289736809442,0.7,FALSE
ZJM,TRT,3.756870743323816,0.3,TRUE
ZJM,reg,15.470027422598832,0.7,TRUE
ZJN,FFD,3.5145303212702856,0.9,TRUE
ZJN,GD,-0.4370872201216116,0.9,FALSE
ZJN,GPT,-1.356827518742648,0.7,FALSE
ZJN,TRT,-0.2573581819451647,0.1,FALSE
ZJN,reg,0.5020497867790255,0.7,FALSE
ZJS,FFD,-0.48432346571280505,0.5,FALSE
ZJS,GD,-0.02391810000699479,0.1,FALSE
ZJS,GPT,-1.4547632331486966,0.7,FALSE
ZJS,TRT,0.9009315381590568,0.1,FALSE
ZJS,reg,4.103627525537831,0.1,TRUE
ZKB,FFD,1.8182260186658823,0.1,FALSE
ZKB,GD,13.21147936914349,0.1,TRUE
ZKB,GPT,1.4883652329845063,0.9,FALSE
ZKB,TRT,1.64101616861808,0.1,FALSE
ZKB,reg,12.551191763782299,0.9,TRUE
ZKH,FFD,-1.584290524089738,0.7,FALSE
ZKH,GD,2.611807625653455,0.5,TRUE
ZKH,GPT,9.781936638184561,0.1,TRUE
ZKH,TRT,11.198566333561757,0.1,TRUE
ZKH,reg,3.1316665882573034,0.5,TRUE
ZKW,FFD,-0.6498368978391227,0.1,FALSE
ZKW,GD,2.1468144216487417,0.1,TRUE
ZKW,GPT,-0.19568245090340497,0.9,FALSE
ZKW,TRT,4.236549279743485,0.1,TRUE
ZKW,reg,5.925753738722051,0.7,TRUE
ZMG,FFD,-0.9418279677011014,0.5,FALSE
ZMG,GD,-0.5689626566163497,0.5,FALSE
ZMG,GPT,-1.5550594055348483,0.3,FALSE
ZMG,TRT,-1.7227364146565378,0.1,FALSE
ZMG,reg,-1.6792391078615765,0.5,FALSE
ZPH,FFD,-1.9062726711345022,0.7,FALSE
ZPH,GD,3.938536214904161,0.5,TRUE
ZPH,GPT,-0.969907678081654,0.1,FALSE
ZPH,TRT,3.1355955162944156,0.5,TRUE
ZPH,reg,7.971004589187942,0.5,TRUE
