subject,beta,measure,measure_type,n_obs,delta_aic,lossy_est,lossy_se
ZAB,0.1,FFD,early,2163,-1.1676719283241255,-0.010849529946120939,0.011896127950650384
ZAB,0.1,GD,early,2163,-1.8346616479939257,-0.006474465430355241,0.015969353674023787
ZAB,0.1,GPT,late,2163,-1.749521666628425,0.01109140738302667,0.022151514803800253
ZAB,0.1,TRT,late,2163,-1.110328836417466,-0.017672417876266132,0.01874907920323201
ZAB,0.1,reg,late,4206,0.9745911480977156,-0.1731584782292793,0.09984900941064558
ZAB,0.3,FFD,early,2171,-1.6959078987274552,-0.007700863982600954,0.013967208254466571
ZAB,0.3,GD,early,2171,-1.9584706062414625,-0.0038160429831439547,0.018709786871151414
ZAB,0.3,GPT,late,2171,-1.715906313042069,0.01387119496217674,0.026030723171823436
ZAB,0.3,TRT,late,2171,-1.3873821369306825,-0.01720506831415553,0.02198519146008578
ZAB,0.3,reg,late,4218,2.1533593195244976,-0.24058912198864632,0.11815690462183365
ZAB,0.5,FFD,early,2171,-1.8588932278107677,-0.006504442892703279,0.01730691635439651
ZAB,0.5,GD,early,2171,-1.9865770447722753,-0.002682292482179344,0.023198928612682006
ZAB,0.5,GPT,late,2171,-1.4716713600209914,0.02354939131009666,0.03242059564027426
ZAB,0.5,TRT,late,2171,-1.5148125777413952,-0.018992953916648916,0.027255906733165424
ZAB,0.5,reg,late,4218,3.4746950945800563,-0.3497611440241758,0.15104003009118247
ZAB,0.7,FFD,early,2171,-1.8428777797380462,-0.008818166659726775,0.022227007659972788
ZAB,0.7,GD,early,2171,-1.9977037291100714,0.0014040519471895303,0.02984372757882244
ZAB,0.7,GPT,late,2171,-0.6261628389984253,0.04883116460650886,0.041738564283018434
ZAB,0.7,TRT,late,2171,-1.999706325950683,-5.431761885713807e-4,0.0351882188719038
ZAB,0.7,reg,late,4218,1.588886338771772,-0.37224993192079076,0.1990638812985133
ZAB,0.9,FFD,early,2171,-1.936870440869825,0.009376267183939484,0.03721953564317583
ZAB,0.9,GD,early,2171,-1.9158303098520264,0.014523664565128326,0.05005742740298952
ZAB,0.9,GPT,late,2171,-0.4876818116827053,0.08543231577532716,0.06964193483560911
ZAB,0.9,TRT,late,2171,-1.992680424667924,0.0050491685741622305,0.05924719495227806
ZAB,0.9,reg,late,4218,1.3970909408808438,-0.6519314881610098,0.35913251936540513
ZDM,0.1,FFD,early,1927,-1.2147550852423592,0.009923809745034543,0.011196271963805867
ZDM,0.1,GPT,late,1927,-0.41501564944701386,0.029562664541748707,0.023481253239893682
ZDM,0.1,TRT,late,1927,-1.7422863395113382,0.009851649340392517,0.019391065510584303
ZDM,0.1,reg,late,4206,-1.9745167046385177,-0.01172649979175317,0.07361717172581175
ZDM,0.3,FFD,early,1932,-0.6289802569262974,0.01536061770036474,0.013115127724073217
ZDM,0.3,GPT,late,1932,0.036980115986807505,0.03923815669297966,0.027519139593742453
ZDM,0.3,TRT,late,1932,-1.135896737963776,0.021149414806194956,0.022750002919984788
ZDM,0.3,reg,late,4218,-1.920873954451963,-0.024591368887318905,0.08633028567022924
ZDM,0.5,FFD,early,1932,-0.6348972475716437,0.019072641809229466,0.01633060517809589
ZDM,0.5,GPT,late,1932,-0.6984250124369282,0.03875180631665467,0.033909393042538684
ZDM,0.5,TRT,late,1932,-1.5676183368414058,0.018625124654357356,0.02834434944659533
