beta,measure,measure_type,delta_aic_lossy,delta_aic_slopes,slopes_converged,model_used,lossy_estimate,lossy_se
0.1,FFD,early,-2.5799654109869152,NA,TRUE,slopes,-0.005687219717796776,0.003658956430237245
0.1,GD,early,NA,NA,TRUE,slopes,-0.020884364801879097,0.004822064285830726
0.1,GPT,late,NA,NA,TRUE,slopes,-0.007251875528181218,0.007027181158345476
0.1,TRT,late,NA,NA,TRUE,slopes,-0.026615716519148847,0.006031145295539537
0.1,reg,late,15.308601023592928,-3.3928106527746422,TRUE,slopes,-0.11603857405835968,0.02541086476854492
0.3,FFD,early,NA,NA,TRUE,slopes,-8.999072734233836,NA
0.3,GD,early,NA,NA,TRUE,slopes,-0.019767181647595066,0.005647653947592238
0.3,GPT,late,NA,NA,TRUE,slopes,-0.0011867525001333266,0.0082158989782678115
0.3,TRT,late,NA,NA,TRUE,slopes,-0.025633505231338564,0.007058081186374785
0.3,reg,late,23.55989391179901,-3.6070355112533434,TRUE,slopes,-0.15956042068541268,0.02962118455479061
0.5,FFD,early,-3.219413370883558,-2.246625986881554,TRUE,slopes,-0.005353737048554241,0.00531465195721391
0.5,GD,early,8.426765262207482,-2.2842038740054704,TRUE,slopes,-0.02511406832610221,0.007073034680074184
0.5,GPT,late,NA,NA,TRUE,slopes,-9.370182302427539e-5,0.010170758876333041
0.5,TRT,late,NA,NA,TRUE,slopes,-0.034161666003499666,0.008725797351298348
0.5,reg,late,42.57857805788808,-3.573349288162717,TRUE,slopes,-0.2579814264413605,0.03744981878317892
0.7,FFD,early,-3.926604909298476,-3.2932336729136296,TRUE,slopes,-0.006953664866249455,0.006727733958158719
0.7,GD,early,0.30767710343934596,-1.9970091352588497,TRUE,slopes,-0.018587599972533436,0.008910313571961264
0.7,GPT,late,NA,NA,TRUE,slopes,0.01665107070883247,0.012891300606163905
0.7,TRT,late,NA,NA,TRUE,slopes,-0.02326857984319123,0.011047008349863876
0.7,reg,late,50.04268254121416,-3.9108977280629915,TRUE,slopes,-0.36106358068146366,0.04891583426478609
0.9,FFD,early,NA,NA,TRUE,slopes,-0.016976722118781047,0.011058169216764514
0.9,GD,early,-3.6640167311416008,NA,TRUE,slopes,-0.018426768754043175,0.014729187071156374
0.9,GPT,late,NA,NA,TRUE,slopes,0.03696962853925432,0.02143594599145812
0.9,TRT,late,-1.9150042847031727,-3.4699924226733856,TRUE,slopes,-0.03475637644877457,0.018485972172153503
0.9,reg,late,NA,NA,TRUE,slopes,-0.5700634974578233,0.08556301153411694
