threshold,beta,measure,measure_type,n_rows,delta_aic
standard,0.1,FFD,early,25164,NA
standard,0.1,GD,early,25164,NA
standard,0.1,GPT,late,25164,-0.8250721181975678
standard,0.1,TRT,late,25164,17.493527831684332
standard,0.1,reg,late,49429,18.70141167636757
standard,0.3,FFD,early,25237,NA
standard,0.3,GD,early,25237,NA
standard,0.3,GPT,late,25237,-1.9777849929523654
standard,0.3,TRT,late,25237,11.273636433412321
standard,0.3,reg,late,49572,27.166929423052352
standard,0.5,FFD,early,25237,-0.9727873840020038
standard,0.5,GD,early,25237,10.710969136212952
standard,0.5,GPT,late,25237,-1.9994600324425846
standard,0.5,TRT,late,25237,13.293032741872594
standard,0.5,reg,late,49572,46.1519273460508
standard,0.7,FFD,early,25237,-0.6333712363848463
standard,0.7,GD,early,25237,2.3046862386981957
standard,0.7,GPT,late,25237,-0.3513674074783921
standard,0.7,TRT,late,25237,2.3964398307725787
standard,0.7,reg,late,49572,53.953580269277154
standard,0.9,FFD,early,25237,0.08675718330778182
standard,0.9,GD,early,25237,NA
standard,0.9,GPT,late,25237,0.9814967320999131
standard,0.9,TRT,late,25237,1.5549881379702128
standard,0.9,reg,late,49572,43.539440082728106
loose,0.1,FFD,early,25721,0.13627550197998062
loose,0.1,GD,early,25721,15.405621210113168
loose,0.1,GPT,late,25721,-1.154839405149687
loose,0.1,TRT,late,25721,18.27363686473109
loose,0.1,reg,late,49429,18.70141167636757
loose,0.3,FFD,early,25794,NA
loose,0.3,GD,early,25794,NA
loose,0.3,GPT,late,25794,-2.126091454469133
loose,0.3,TRT,late,25794,11.581929504754953
loose,0.3,reg,late,49572,27.166929423052352
loose,0.5,FFD,early,25794,NA
loose,0.5,GD,early,25794,NA
loose,0.5,GPT,late,25794,-2.019807284930721
loose,0.5,TRT,late,25794,13.07890626724111
loose,0.5,reg,late,49572,46.1519273460508
loose,0.7,FFD,early,25794,-1.3399040210642852
loose,0.7,GD,early,25794,NA
loose,0.7,GPT,late,25794,0.2734319150913507
loose,0.7,TRT,late,25794,2.177166661247611
loose,0.7,reg,late,49572,53.953580269277154
loose,0.9,FFD,early,25794,NA
loose,0.9,GD,early,25794,NA
loose,0.9,GPT,late,25794,-0.13276872952701524
loose,0.9,TRT,late,25794,0.7056200588704087
loose,0.9,reg,late,49572,43.539440082728106
strict,0.1,FFD,early,20916,2.7286476049630437
strict,0.1,GD,early,20916,15.044554318272276
strict,0.1,GPT,late,20916,0.14767469506477937
strict,0.1,TRT,late,20916,19.473880527133588
strict,0.1,reg,late,49429,18.70141167636757
strict,0.3,FFD,early,20981,NA
strict,0.3,GD,early,20981,7.5394838105130475
strict,0.3,GPT,late,20981,-1.663839986314997
strict,0.3,TRT,late,20981,11.981837825034745
strict,0.3,reg,late,49572,27.166929423052352
strict,0.5,FFD,early,20981,NA
strict,0.5,GD,early,20981,NA
strict,0.5,GPT,late,20981,-44.21438581717666
strict,0.5,TRT,late,20981,12.495479769073427
strict,0.5,reg,late,49572,46.1519273460508
strict,0.7,FFD,early,20981,NA
strict,0.7,GD,early,20981,0.43442479899385944
strict,0.7,GPT,late,20981,0.627398528624326
strict,0.7,TRT,late,20981,0.7150783005054109
strict,0.7,reg,late,49572,53.953580269277154
strict,0.9,FFD,early,20981,0.6367800775624346
strict,0.9,GD,early,20981,-1.1074540029512718
strict,0.9,GPT,late,20981,5.004783000971656
strict,0.9,TRT,late,20981,-0.5778554693679325
strict,0.9,reg,late,49572,43.539440082728106
